id;price;region;street_name;room_count;total_square;floor;subway;max_floor;street_number;living_square;kitchen_square
0;545000;Печерський;Городецького архітектора вул.;3;113;4;Хрещатик;6;12;38;59
1;150000;Оболонський;Героїв полку 'Азов' вул. (Малиновського маршала);2;73;10;Оболонь;25;4в;37;15
2;48700;Дарницький;Бориспільська вул.;2;87;2;Вирлиця;2;61;40;25
7;470000;Шевченківський;Парково-Сирецька вул. (Шамрила Тимофія);5;175;13;Шулявська;24;4в;75;50
8;640000;Печерський;Джона Маккейна вул. (Кудрі Івана);4;160;24;Либідська;24;1б;120;24
9;299000;Печерський;Василя Тютюнника вул. (Барбюса Анрі);3;101;16;Палац Україна;25;39;30;38
10;209000;Печерський;Хрещатик вул.;2;68;7;Театральна;10;27;15;40
11;260000;Голосіївський;Рудницького Степана вул. (Вільямса академіка);5;194,6;15;Виставковий центр;16;3а;110,7;18,7
12;120000;Голосіївський;Велика Васильківська;2;53,7;11;Олімпійська;16;94;32,3;7,6
13;2000000;Печерський;Новоселицька вул.;3;200;7;Видубичі;10;10;130;27
14;239000;Печерський;Грушевського Михайла вул.;3;80;2;Арсенальна;5;9;49;11
15;350000;Печерський;Мазепи Івана вул. (Січневого Повстання);3;85;4;Арсенальна;6;3;57;11
16;450000;Шевченківський;Юрія Іллєнка вул. (Мельникова);3;146;18;Лук'янівська;23;18Б;80;64
17;102500;Святошинський;Берестейський просп. (Перемоги);1;41;11;Нивки;17;67;17;20
18;68000;Дарницький;Драгоманова вул.;1;43;3;Позняки;25;10;19,3;10,2
19;420000;Печерський;Новопечерський пров.;3;115;13;Палац Україна;14;7В;33;24
20;545000;Печерський;Городецького архітектора вул.;3;113;4;Хрещатик;6;12;38;59
21;150000;Оболонський;Героїв полку 'Азов' вул. (Малиновського маршала);2;73;10;Оболонь;25;4в;37;15
22;48700;Дарницький;Бориспільська вул.;2;87;2;Вирлиця;2;61;40;25
27;470000;Шевченківський;Парково-Сирецька вул. (Шамрила Тимофія);5;175;13;Шулявська;24;4в;75;50
28;640000;Печерський;Джона Маккейна вул. (Кудрі Івана);4;160;24;Либідська;24;1б;120;24
29;299000;Печерський;Василя Тютюнника вул. (Барбюса Анрі);3;101;16;Палац Україна;25;39;30;38
30;209000;Печерський;Хрещатик вул.;2;68;7;Театральна;10;27;15;40
31;260000;Голосіївський;Рудницького Степана вул. (Вільямса академіка);5;194,6;15;Виставковий центр;16;3а;110,7;18,7
